"num","team","epa_rank","total_epa","norm_epa","unitless_epa","auto_epa","teleop_epa","endgame_epa","rp_1_epa","rp_2_epa","next_event_key","next_event_name","next_event_week","record","winrate"
"695","Bison Robotics","66","58.2","1750","1796","14.1","37.3","6.8","0.75","0.38","N/A","N/A","N/A","52-11-0","0.825"
"987","HIGHROLLERS","67","58.2","1750","1796","15.1","36.9","6.2","0.6","0.33","N/A","N/A","N/A","30-16-0","0.652"
"6090","Wayland Wildcats","68","58.1","1749","1795","16.4","31.4","10.3","0.5","0.64","N/A","N/A","N/A","46-24-0","0.657"
"1506","Metal Muscle","69","58.1","1748","1795","14.2","35.1","8.8","0.34","0.44","N/A","N/A","N/A","52-17-0","0.754"
"4499","The Highlanders","70","58","1748","1795","17.1","35.1","5.9","0.64","0.37","2023cc","Chezy Champs","9","50-14-0","0.781"
"971","Spartan Robotics","71","58","1747","1794","14.2","35.4","8.4","0.55","0.3","2023cc","Chezy Champs","9","29-16-0","0.644"
"2337","EngiNERDs","72","57.9","1747","1794","13.2","36.1","8.6","0.83","0.38","N/A","N/A","N/A","45-17-1","0.722"
"5166","Fabricators","73","57.9","1746","1793","17.3","33.2","7.3","0.54","0.27","N/A","N/A","N/A","42-21-0","0.667"
"5727","Omegabytes","74","57.8","1745","1793","15.9","35.2","6.7","0.63","0.41","N/A","N/A","N/A","40-23-2","0.631"
"4607","C.I.S.","75","57.8","1745","1793","13","35","9.8","0.39","0.42","N/A","N/A","N/A","25-15-1","0.622"
"4381","Twisted Devils","76","57.8","1745","1792","17.5","32.9","7.4","0.65","0.42","N/A","N/A","N/A","66-16-2","0.798"
"972","Iron Claw","77","57.7","1745","1792","15","33.6","9.1","0.57","0.31","N/A","N/A","N/A","39-27-1","0.590"
"2521","SERT","78","57.7","1744","1791","16.3","31.7","9.7","0.78","0.46","N/A","N/A","N/A","39-25-0","0.609"
"3937","Breakaway","79","57.7","1744","1791","16.1","34.9","6.7","0.59","0.33","N/A","N/A","N/A","47-16-0","0.746"
"461","Westside Boiler Invasion","80","57.6","1743","1791","14.1","36.3","7.2","0.42","0.24","N/A","N/A","N/A","47-24-0","0.662"
"4039","MakeShift Robotics","81","57.5","1742","1790","15.7","31.9","10","0.31","0.5","N/A","N/A","N/A","45-18-1","0.711"
"114","Eaglestrike","82","57.2","1739","1788","14","35.8","7.4","0.48","0.33","2023cc","Chezy Champs","9","21-9-0","0.700"
"125","NUTRONs","83","57.2","1738","1787","17.5","28.2","11.5","0.45","0.53","N/A","N/A","N/A","61-24-5","0.706"
"316","LUNATECS","84","57.2","1738","1787","11.7","33.9","11.5","0.48","0.51","2023njbw","Raritan Valley Science & Technology Showcase","9","38-20-1","0.653"
"1690","Orbit","85","56.8","1735","1784","16.5","31.9","8.4","0.75","0.49","N/A","N/A","N/A","49-15-1","0.762"
"624","CRyptonite","86","56.8","1734","1784","16.5","29.9","10.4","0.68","0.43","N/A","N/A","N/A","44-22-1","0.664"
"4272","Maverick Robotics","87","56.8","1734","1784","15.2","33.5","8.1","0.47","0.15","N/A","N/A","N/A","39-21-0","0.650"
"3357","COMETS","88","56.8","1734","1784","17","29.5","10.3","0.77","0.54","N/A","N/A","N/A","63-20-0","0.759"
"1706","Ratchet Rockers","89","56.7","1733","1783","15.6","34","7.2","0.67","0.3","N/A","N/A","N/A","38-11-1","0.770"
"3655","Tractor Technicians","90","56.7","1733","1783","14.7","33.8","8.2","0.64","0.28","N/A","N/A","N/A","55-22-0","0.714"
"2974","Walton Robotics","91","56.7","1733","1783","15.7","34.2","6.8","0.76","0.21","N/A","N/A","N/A","46-15-0","0.754"
"870","TEAM  R. I. C. E.","92","56.6","1732","1782","13.8","33.5","9.3","0.61","0.59","N/A","N/A","N/A","41-14-1","0.741"
"3175","Knight Vision","93","56.5","1731","1781","17.5","29.1","9.9","0.87","0.74","N/A","N/A","N/A","54-13-1","0.801"
"5895","Peddie Robotics","94","56.3","1729","1780","14","35","7.3","0.62","0.34","N/A","N/A","N/A","53-17-0","0.757"
"177","Bobcat Robotics","95","56.3","1729","1780","10.9","37.8","7.6","0.37","0.45","N/A","N/A","N/A","48-19-0","0.716"
"103","Cybersonics","96","56.3","1728","1780","13","34.7","8.6","0.6","0.33","N/A","N/A","N/A","43-15-1","0.737"
"319","Big Bad Bob","97","56.3","1728","1780","16.2","32.2","7.9","0.6","0.35","N/A","N/A","N/A","44-20-2","0.682"
"4481","Team Rembrandts","98","56.3","1728","1779","15.3","34","6.9","0.72","0.24","N/A","N/A","N/A","34-11-1","0.750"
"70","More Martians","99","56.2","1728","1779","14.9","30.1","11.2","0.48","0.56","N/A","N/A","N/A","38-24-1","0.611"
"8033","Highlander Robotics","100","56.2","1728","1779","12.4","34.2","9.6","0.58","0.43","2023cc","Chezy Champs","9","33-17-1","0.657"
"7285","Beşiktaş Rsports","101","56.1","1727","1778","13.8","35.9","6.5","0.27","0.21","N/A","N/A","N/A","32-9-0","0.780"
"9312","NERD Spark","102","56.1","1727","1778","10.8","36.2","9.1","0.48","0.31","N/A","N/A","N/A","45-22-2","0.667"
"95","Grasshoppers","103","56.1","1726","1778","13.9","30.6","11.6","0.46","0.33","N/A","N/A","N/A","30-17-1","0.635"
"1727","REX","104","56","1726","1777","16.9","33","6.1","0.66","0.46","N/A","N/A","N/A","51-17-1","0.746"
"2601","Steel Hawks","105","55.9","1725","1776","17.3","30.2","8.4","0.3","0.62","N/A","N/A","N/A","31-14-1","0.685"
"6722","LED Robotics","106","55.9","1724","1776","16.3","32.1","7.5","0.51","0.49","N/A","N/A","N/A","31-14-0","0.689"
"4201","The Vitruvian Bots","107","55.9","1724","1776","12.7","34.8","8.4","0.41","0.42","2023cass","SoCal Showdown","9","26-14-0","0.650"
"6424","Stealth Panther Robotics","108","55.8","1723","1775","17.4","30.2","8.1","0.57","0.58","N/A","N/A","N/A","48-10-0","0.828"
"494","Martians","109","55.5","1720","1773","16.6","30.6","8.3","0.45","0.66","N/A","N/A","N/A","45-21-0","0.682"
"6328","Mechanical Advantage","110","55.5","1720","1773","22.4","27.9","5.2","0.4","0.2","N/A","N/A","N/A","47-23-1","0.669"
